"ensembl","entrez","hgnc_symbol","P13555_106","P13555_109","P13555_110","P13555_116","P13555_118","P13555_119","P13555_120","P13555_210","P13555_211","P13555_212"
"ENSG00000145216",81608,"FIP1L1",4.33057497578978,4.86638489070362,4.76259711294854,5.18567278010657,5.1397380760095,4.94326711770608,5.05960081158965,4.64815398230621,5.07345255402583,5.10351687046917
"ENSG00000247556",729082,"OIP5-AS1",4.81020568041892,4.71053199576477,4.33057497578978,5.11302029451282,4.99408455497058,4.33057497578978,4.75444462058805,4.87845107423715,4.66572829409432,5.27181221872882
"ENSG00000185272",54033,"RBM11",5.94808552740883,5.74862184927635,5.77203134966761,6.20066739988657,5.79996110644796,6.13077650060649,5.66133296114738,5.9310913737922,6.32001520676895,5.98715234254368
"ENSG00000248333",728642,"CDK11B",4.33057497578978,4.33057497578978,4.33057497578978,4.33057497578978,4.33057497578978,4.33057497578978,4.33057497578978,4.33057497578978,4.33057497578978,4.33057497578978
"ENSG00000184588",5142,"PDE4B",4.67050226832838,4.33057497578978,4.33057497578978,4.93957821688211,4.80179550786164,4.33057497578978,4.33057497578978,4.33057497578978,4.33057497578978,5.10351687046917
"ENSG00000188388",NA,"GOLGA6L3",7.44040501855544,7.37092966651802,6.93507511376932,7.02830423877388,6.89648398873408,6.98506720149305,6.73347668208994,7.4753192558131,7.38908533202726,6.61801278220005
"ENSG00000172660",8148,"TAF15",7.44040501855544,7.73055942415013,7.50474152008047,7.08216453151115,7.32256924233953,7.32650910691767,7.50346050387397,7.45914841222463,7.21699231953092,7.2940982674649
"ENSG00000134240",3158,"HMGCS2",5.88786869602307,6.1504949616756,5.3701310693898,5.77263541012584,5.69868655320721,5.70375863818237,5.74665444432969,5.79325262547329,6.06421015864268,5.41135023138841
"ENSG00000187824",388335,"TMEM220",5.38442102628343,5.2484107202343,5.18529622415279,5.61329202445984,5.46083483178187,5.03632149234958,5.30933797680237,5.66913475105996,6.18706262672762,5.64000803346752
"ENSG00000173621",78999,"LRFN4",6.32322774251126,7.06688062419286,6.187000201796,7.17164462659551,6.56111265725874,6.92644800259984,7.01056020558493,6.97854727155611,7.60089185691234,5.79799548830163
"ENSG00000128604",3663,"IRF5",5.64725700924983,5.70391296727921,5.97470160456205,5.47515057690024,5.41490094170228,5.62069244384807,5.4660356986802,5.52834069074461,5.37016909039387,5.45341597542655
"ENSG00000198589",987,"LRBA",8.39410249829849,8.30782684745268,8.72394229791315,8.16121860595747,7.85320548078957,7.79031342117149,7.64406635342012,8.08603007082199,7.8205479241233,7.80582245236916
"ENSG00000021776",9716,"AQR",6.25676921789866,6.65524265384123,6.02026690898822,6.20066739988657,6.37517878832064,6.21077556137845,5.6312907323207,6.6411626555235,6.38159413570462,6.21369817828672
"ENSG00000110245",345,"APOC3",10.9726012624411,10.8702101235608,11.0545023684072,10.8059814252747,10.8503275411558,10.9424015675754,10.858521686656,10.7829198113194,10.6297936381437,11.0330414592522
"ENSG00000197421",100132705,"GGT3P",5.43353803352245,5.70391296727921,5.07342482916069,5.80905255324823,5.66269278052598,5.57651909108777,5.50138166408505,5.56541656297302,5.7033332994528,5.10351687046917
"ENSG00000205707",144363,"LYRM5",4.81020568041892,4.86638489070362,4.33057497578978,4.93957821688211,4.80179550786164,5.11771503819928,4.84878597012825,4.87845107423715,4.80349957968967,4.88035503537441
"ENSG00000207375",100033434,"SNORD116-23",5.00582285912278,5.31929181001909,5.18529622415279,5.03209247546797,5.20273032647538,5.53031821411717,5.60034975547165,5.36377182930422,5.41867999450969,5.60536770604755
"ENSG00000115514",10190,"TXNDC9",5.38442102628343,5.31929181001909,5.44960954020166,5.18567278010657,4.80179550786164,5.11771503819928,5.11665755422071,5.26862512278149,5.50869773432627,5.21966779382149
"ENSG00000175305",9134,"CCNE2",8.85308671512267,8.88175418089107,8.53130489919268,8.23892848871745,8.48163680027514,8.519589313833,8.45312691141078,8.74119609657791,8.60079060409831,8.39129242478478
"ENSG00000258986",388021,"TMEM179",4.67050226832838,4.98495933069681,4.33057497578978,5.18567278010657,5.1397380760095,5.31917690005135,4.99723756767575,5.31751899674637,5.31886020869721,5.10351687046917
"ENSG00000225978",768096,"HAR1A",7.84075227757679,8.46562753509437,8.04500125095284,7.7096483693478,7.83263492594849,7.80636051423789,7.53823158487104,8.00540450517805,8.0530634644546,7.01999946056125
"ENSG00000197766",1675,"CFD",6.25676921789866,6.42741673115778,6.10649068998365,6.25106692639226,6.50806350984852,6.31002817322751,6.63128582273499,6.32596039311025,6.32001520676895,6.0829076763086
"ENSG00000143079",55917,"CTTNBP2NL",7.75267193237646,7.99330798467013,8.24937190135437,8.87270436319042,7.60863579636875,7.0952942105988,6.76987474552998,8.33918965574502,8.48222699111827,8.78313973201008
"ENSG00000143195",387597,"ILDR2",5.08384922574117,5.38475506748666,4.76259711294854,5.11302029451282,5.5046369370078,5.19077974789163,5.39108663382659,5.10087059637445,5.20581845776957,4.96415089569497
"ENSG00000234420",100129482,"ZNF37BP",9.78184611073961,9.80964776345882,10.1771942248418,9.67676260928415,9.6533787647214,9.64793505943462,9.65922499011461,9.30340898232488,9.3257570703527,9.52484212816406
"ENSG00000242071",NA,"RPL7AP6",8.24134474050967,8.06352280023453,8.23195464097716,8.09842610081193,7.98942554174828,8.18273111275761,8.24342447025075,8.23006752925426,8.16753029636526,8.18102934466133
"ENSG00000103653",1445,"CSK",4.91667051133938,4.86638489070362,4.76259711294854,5.18567278010657,4.33057497578978,4.83207515309658,5.11665755422071,4.77880194166747,4.33057497578978,4.78036575351024
"ENSG00000011132",9546,"APBA3",5.97706275737285,6.08688124049194,6.14740543636066,6.12100297595645,5.76723642875782,5.88720103833144,5.4660356986802,6.03062043408197,5.927352353547,5.73755016808706
"ENSG00000185523",149643,"C1orf227",6.36567603283874,6.54626046319875,6.22536785936184,6.78880131096695,6.35502662433696,6.35687761913361,6.36753511151594,6.41659842460411,6.82031215256532,6.19284156806209
"ENSG00000007520",115939,"TSR3",6.00534280080557,6.29652552391053,5.82619982080864,5.97537556384824,5.95066954806737,5.81741620535947,6.28359503717904,6.07742152957667,5.80490032797348,5.73755016808706
"ENSG00000023330",211,"ALAS1",5.33246323528486,4.86638489070362,5.3701310693898,5.69594439773534,5.3665445345955,5.11771503819928,5.21887707152116,5.79325262547329,5.66723333589475,5.53232583032709
"ENSG00000198324",144717,"FAM109A",9.11528604952961,8.96123206282681,8.8602410988481,8.87270436319042,9.16876602107106,9.24815257726518,9.08094809427695,8.97847505991167,8.58032458728514,9.01561737735898
"ENSG00000023839",1244,"ABCC2",7.0630816721423,7.37092966651802,7.13936587787879,7.56776534041989,7.12014900583831,7.28092169684892,7.40881528096597,7.36671810077765,7.40800703810622,7.25674925818221
"ENSG00000213139",1427,"CRYGS",5.64725700924983,5.60841041119457,5.82619982080864,6.61424609062908,5.79996110644796,5.53031821411717,5.99130323937923,6.14439310433836,6.23296517462187,5.53232583032709
