"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"60","5","GO Cellular Component","","Euchromatin","0.0049","SP1|JUN|HSF1|HIF1A|CTNNB1","45910","46182|46302|46203|46071|46233","6.76E-5","","GO:0000791","0.23098039199714862","0"
"18293","130","GO Cellular Component","","Cellular anatomical entity","0.0049","CEBPE|USF2|NFKB1|SPI1|CYP27B1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|PTPRE|ATF1|SMAD2|CSNK2A2|E2F3|MAPK3|PPM1F|EPAS1|STAT3|TP63|CASP6|SRF|KAT6A|JDP2|GATA6|TP53|REL|TLX3|PLK1|RUNX1|JUNB|CEBPB|SMAD1|FOS|PRKACA|SP3|REST|STAT2|CLK4|EZH2|GSK3B|PGR|SP1|PRKCD|KLHL22|RARB|SMAD3|PTPRB|ATF4|CDK10|MYB|JARID2|FOXM1|E2F1|GATA2|NFYA|DUSP9|DUSP19|GABPA|WWP2|ETS2|KDM5B|POU2F1|DUSP23|THEM4|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|STK40|ATRX|NR5A1|TFDP1|SP2|SF1|KLF5|WT1|GATA3|E2F4|GLRX|SRY|URI1|ETS1|POU2AF1|NR2F2|MAPK8|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|DCAF1|TNIK|SATB1|HMGA1|EWSR1|HIPK1|CBFB|PTPRG|UHMK1|HSF1|FLI1|LATS1|HIF1A|HNF1A|NKRF|SP7|AKT1|MEF2A|GTF2I|CEBPG|RIOX1|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|ENC1|TFAP2A","45910","46380|46371|46254|46314|46101|46245|46296|46206|46251|46329|46239|46050|46323|46356|46176|46164|46113|46080|46074|46029|46365|46386|46305|46128|46167|46368|46185|46155|46278|46335|46005|46047|46035|46194|46272|46053|46317|46002|46014|46218|46122|46038|46095|46026|46338|46227|46182|46008|46086|46287|46215|46173|46197|46281|46332|46275|46158|46020|46044|46134|46359|46293|46065|46212|46032|46344|46089|46161|46137|46098|46302|46260|46263|46248|46116|46350|46011|46299|46320|46341|46224|46110|46257|46242|46125|46362|46068|46023|46092|46290|46236|46077|46284|46347|46221|46266|46200|46119|46107|46311|46146|46353|46209|46188|46152|46062|46149|46269|46017|46383|46203|46041|45999|46071|46083|46230|46059|46374|46170|46104|46143|46326|46140|46191|46377|46308|46233|46179|46131|46056","6.82E-5","","GO:0110165","0.23098039199714862","0"
"50","5","DISEASES","","Stomach disease","0.0049","TP53|AKT1|MYC|CTNNB1|ENC1","45910","46335|46374|46191|46233|46131","3.0E-5","","DOID:76","0.23098039199714862","0"
"80","5","GO Biological Process","","Regulation of bone mineralization","0.005","CYP27B1|SOX9|SMAD3|HIF1A|TFAP2A","45910","46101|46239|46215|46071|46056","2.4E-4","","GO:0030500","0.23010299956639813","0"
"181","7","GO Biological Process","","Protein dephosphorylation","0.0051","PTPRE|PPM1F|PTPRB|DUSP9|DUSP19|DUSP23|PTPRG","45910","46176|46365|46173|46359|46293|46161|46017","2.4E-4","","GO:0006470","0.22924298239020638","0"
"181","7","GO Biological Process","","Positive regulation of leukocyte differentiation","0.0051","RARA|RUNX1|FOS|MYB|GATA3|CBFB|HSF1","45910","46323|46194|46002|46332|46125|46269|46203","2.4E-4","","GO:1902107","0.22924298239020638","0"
"2","2","GO Biological Process","","pro-T cell differentiation","0.0052","SPI1|GATA3","45910","46314|46125","2.5E-4","","GO:0002572","0.2283996656365201","0"
"81","5","GO Biological Process","","Endoderm development","0.0052","NANOG|SMAD2|GATA6|SMAD3|CTNNB1","45910","46245|46113|46278|46215|46233","2.6E-4","","GO:0007492","0.2283996656365201","0"
"43","4","GO Biological Process","","Positive regulation of glucose transmembrane transport","0.0052","NFE2L2|AKT1|MEF2A|NR4A3","45910","46221|46374|46170|46377","2.5E-4","","GO:0010828","0.2283996656365201","0"
"2","2","GO Biological Process","","Bronchus cartilage development","0.0052","SOX9|SRF","45910","46239|46368","2.5E-4","","GO:0060532","0.2283996656365201","0"
"2","2","GO Biological Process","","Lung smooth muscle development","0.0052","SOX9|SRF","45910","46239|46368","2.5E-4","","GO:0061145","0.2283996656365201","0"
"2","2","GO Biological Process","","Regulation of metanephric glomerular mesangial cell proliferation","0.0052","EGR1|WT1","45910","46296|46242","2.5E-4","","GO:0072301","0.2283996656365201","0"
"2","2","GO Biological Process","","Negative regulation of mesenchymal stem cell differentiation","0.0052","REST|GSK3B","45910","46122|46338","2.5E-4","","GO:2000740","0.2283996656365201","0"
"17","3","Reactome Pathways","","RIP-mediated NFkB activation via ZBP1","0.0052","NFKB1|NFKB2|RELA","45910","46254|46098|46200","2.9E-4","","HSA-1810476","0.2283996656365201","0"
"84","5","Reactome Pathways","","Cyclin A:Cdk2-associated events at S phase entry","0.0052","E2F1|TFDP1|E2F4|AKT1|MYC","45910","46020|46341|46362|46374|46191","3.0E-4","","HSA-69656","0.2283996656365201","0"
"17","3","Reactome Pathways","","Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)","0.0052","E2F3|E2F1|TFDP1","45910","46074|46020|46341","2.9E-4","","HSA-9661069","0.2283996656365201","0"
"150","7","GO Cellular Component","","Nuclear periphery","0.0054","TP53|CEBPB|PRKCD|ATF4|MYB|SATB1|ENC1","45910","46335|46053|46008|46197|46332|46188|46131","7.98E-5","","GO:0034399","0.22676062401770314","0"
"100","6","GO Molecular Function","","Protein tyrosine phosphatase activity","0.0054","PTPRE|PTPRB|DUSP9|DUSP19|DUSP23|PTPRG","45910","46176|46173|46359|46293|46161|46017","7.06E-5","","GO:0004725","0.22676062401770314","0"
"44","4","GO Biological Process","","Cell fate determination","0.0056","GATA6|GATA2|GATA3|CTNNB1","45910","46278|46044|46125|46233","2.7E-4","","GO:0001709","0.22518119729937996","0"
"885","16","GO Biological Process","","Sexual reproduction","0.0056","SOX9|RARA|CSNK2A2|STAT3|TP63|PLK1|SMAD1|PRKACA|PGR|E2F1|KDM5B|ATRX|WT1|NR2F2|AKT1|CTNNB1","45910","46239|46323|46080|46305|46128|46035|46317|46014|46227|46020|46344|46299|46242|46077|46374|46233","2.7E-4","","GO:0019953","0.22518119729937996","0"
"130","6","GO Biological Process","","Embryonic skeletal system development","0.0056","SMAD2|SP3|SMAD3|RUNX2|CTNNB1|TFAP2A","45910","46113|46218|46215|46260|46233|46056","2.8E-4","","GO:0048706","0.22518119729937996","0"
"44","4","GO Biological Process","","Negative regulation of reactive oxygen species metabolic process","0.0056","TP53|PPARA|HIF1A|TFAP2A","45910","46335|46119|46071|46056","2.7E-4","","GO:2000378","0.22518119729937996","0"
"314","9","GO Biological Process","","Response to light stimulus","0.0058","TP53|FOS|PRKCD|ATF4|MAPK8|RELA|HIF1A|AKT1|MYC","45910","46335|46002|46008|46197|46284|46200|46071|46374|46191","2.8E-4","","GO:0009416","0.22365720064370626","0"
"83","5","GO Biological Process","","Embryonic heart tube development","0.0058","SRF|SMAD3|HIF1A|PITX2|CTNNB1","45910","46368|46215|46071|46308|46233","2.8E-4","","GO:0035050","0.22365720064370626","0"
"248","8","GO Biological Process","","Gliogenesis","0.0058","EGR2|SOX9|MAPK3|STAT3|TP53|PTPRB|AKT1|CTNNB1","45910","46251|46239|46029|46305|46335|46173|46374|46233","2.9E-4","","GO:0042063","0.22365720064370626","0"
"83","5","GO Biological Process","","Odontogenesis of dentin-containing tooth","0.0058","TP63|GATA6|RUNX2|PPARA|CTNNB1","45910","46128|46278|46260|46119|46233","2.8E-4","","GO:0042475","0.22365720064370626","0"
"131","6","GO Biological Process","","Regulation of generation of precursor metabolites and energy","0.0058","STAT3|TP53|GSK3B|PPARA|HIF1A|AKT1","45910","46305|46335|46338|46119|46071|46374","2.9E-4","","GO:0043467","0.22365720064370626","0"
"17","3","GO Biological Process","","Positive regulation of membrane potential","0.0058","GLRX|HNF1A|AKT1","45910","46068|46083|46374","2.9E-4","","GO:0045838","0.22365720064370626","0"
"17","3","GO Biological Process","","G1 to G0 transition","0.0058","CYP27B1|GATA6|EZH2","45910","46101|46278|46026","2.9E-4","","GO:0070314","0.22365720064370626","0"
"18","3","Reactome Pathways","","TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest","0.0058","TP53|TFDP1|E2F4","45910","46335|46341|46362","3.4E-4","","HSA-6804114","0.22365720064370626","0"
"1079","18","GO Biological Process","","Cell-cell signaling","0.0059","SOX9|SMAD2|CSNK2A2|TP63|EZH2|GSK3B|PGR|ATF4|KLF5|GATA3|RELA|RARG|MITF|TNIK|HIF1A|HNF1A|AKT1|CTNNB1","45910","46239|46113|46080|46128|46026|46338|46227|46197|46257|46125|46200|46107|46146|46209|46071|46083|46374|46233","2.9E-4","","GO:0007267","0.22291479883578558","0"
"45","4","GO Biological Process","","Branching involved in ureteric bud morphogenesis","0.006","SOX9|WT1|MYC|CTNNB1","45910","46239|46242|46191|46233","3.0E-4","","GO:0001658","0.2221848749616356","0"
"84","5","GO Biological Process","","Regulation of histone methylation","0.006","MYB|JARID2|ATRX|GATA3|CTNNB1","45910","46332|46275|46299|46125|46233","3.0E-4","","GO:0031060","0.2221848749616356","0"
"84","5","GO Biological Process","","Skin epidermis development","0.006","SOX9|TP63|GATA6|RELA|CTNNB1","45910","46239|46128|46278|46200|46233","3.0E-4","","GO:0098773","0.2221848749616356","0"
"47","4","Reactome Pathways","","PKMTs methylate histone lysines","0.006","NFKB1|EZH2|NFKB2|RELA","45910","46254|46026|46098|46200","3.5E-4","","HSA-3214841","0.2221848749616356","0"
"47","4","Reactome Pathways","","Cyclin D associated events in G1","0.006","E2F3|E2F1|TFDP1|E2F4","45910","46074|46020|46341|46362","3.5E-4","","HSA-69231","0.2221848749616356","0"
"189","7","GO Biological Process","","Regulation of carbohydrate metabolic process","0.0063","NFKB1|STAT3|TP53|GSK3B|PPARA|HIF1A|AKT1","45910","46254|46305|46335|46338|46119|46071|46374","3.1E-4","","GO:0006109","0.22006594505464183","0"
"189","7","GO Biological Process","","Regulation of stress-activated MAPK cascade","0.0063","SPI1|MAPK3|FOXM1|DUSP19|ZC3H12A|TNIK|MYC","45910","46314|46029|46158|46293|46350|46209|46191","3.1E-4","","GO:0032872","0.22006594505464183","0"
"189","7","GO Biological Process","","Protein autophosphorylation","0.0063","MAPK3|PRKACA|CLK4|GSK3B|TNIK|UHMK1|AKT1","45910","46029|46014|46095|46338|46209|46383|46374","3.1E-4","","GO:0046777","0.22006594505464183","0"
"251","8","GO Biological Process","","Regulation of canonical Wnt signaling pathway","0.0063","NFKB1|EGR1|SOX9|GSK3B|SMAD3|LATS1|CTNNB1|DLX5","45910","46254|46296|46239|46338|46215|45999|46233|46179","3.1E-4","","GO:0060828","0.22006594505464183","0"
"189","7","GO Biological Process","","Negative regulation of cellular macromolecule biosynthetic process","0.0063","RARA|GSK3B|ATF4|YBX1|ZC3H12A|WT1|ENC1","45910","46323|46338|46197|46248|46350|46242|46131","3.1E-4","","GO:2000113","0.22006594505464183","0"
"46","4","GO Biological Process","","Embryonic cranial skeleton morphogenesis","0.0064","SMAD2|SMAD3|RUNX2|TFAP2A","45910","46113|46215|46260|46056","3.2E-4","","GO:0048701","0.21938200260161128","0"
"134","6","GO Biological Process","","Nephron development","0.0064","EGR1|SOX9|WT1|GATA3|MYC|CTNNB1","45910","46296|46239|46242|46125|46191|46233","3.2E-4","","GO:0072006","0.21938200260161128","0"
"1405","21","Reactome Pathways","","Post-translational protein modification","0.0064","RARA|SMAD2|EPAS1|TP53|SMAD1|SP3|PGR|KLHL22|SMAD3|NFKB2|NR5A1|GATA3|NFE2L2|RELA|PPARA|MITF|SATB1|HIF1A|NR1H3|MYC|TFAP2A","45910","46323|46113|46386|46335|46317|46218|46227|46086|46215|46098|46320|46125|46221|46200|46119|46146|46188|46071|46140|46191|46056","3.8E-4","","HSA-597592","0.21938200260161128","0"
"18","3","GO Biological Process","","Retinoic acid receptor signaling pathway","0.0066","RARA|RARB|RARG","45910","46323|46287|46107","3.4E-4","","GO:0048384","0.2180456064458131","0"
"2370","30","GO Biological Process","","Regulation of catalytic activity","0.0066","NFKB1|CYP27B1|EGR1|MAPK3|PPM1F|STAT3|TP63|CASP6|TP53|PLK1|REST|EZH2|GSK3B|PRKCD|SMAD3|PTPRB|DUSP19|JUN|URI1|NR2F2|MAPK8|HSF1|LATS1|HIF1A|HNF1A|SP7|AKT1|NR1H3|MYC|CTNNB1","45910","46254|46101|46296|46029|46365|46305|46128|46167|46335|46035|46122|46026|46338|46008|46215|46173|46293|46302|46092|46077|46284|46203|45999|46071|46083|46059|46374|46140|46191|46233","3.4E-4","","GO:0050790","0.2180456064458131","0"
"18","3","GO Biological Process","","Negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway","0.0066","NFE2L2|HIF1A|AKT1","45910","46221|46071|46374","3.4E-4","","GO:1902176","0.2180456064458131","0"
"635","13","GO Biological Process","","Regulation of plasma membrane bounded cell projection organization","0.0067","ATF1|SRF|EZH2|GSK3B|PRKCD|CDK10|KLF5|GATA3|NFE2L2|TNIK|PTPRG|AKT1|ENC1","45910","46164|46368|46026|46338|46008|46281|46257|46125|46221|46209|46017|46374|46131","3.4E-4","","GO:0120035","0.21739251972991736","0"
"997","17","GO Biological Process","","Positive regulation of intracellular signal transduction","0.0067","SPI1|SOX9|MAPK3|TP53|REL|EZH2|KLHL22|CDK10|DUSP19|JUN|ZC3H12A|GATA3|RELA|TNIK|HNF1A|MYC|CTNNB1","45910","46314|46239|46029|46335|46005|46026|46086|46281|46293|46302|46350|46125|46200|46209|46083|46191|46233","3.4E-4","","GO:1902533","0.21739251972991736","0"
"254","8","GO Biological Process","","Regulation of protein modification by small protein conjugation or removal","0.0067","EGR1|EPAS1|PLK1|ZC3H12A|RELA|HIF1A|AKT1|CTNNB1","45910","46296|46386|46035|46350|46200|46071|46374|46233","3.4E-4","","GO:1903320","0.21739251972991736","0"
"49","4","Reactome Pathways","","TP53 Regulates Transcription of Cell Cycle Genes","0.0067","TP53|E2F1|TFDP1|E2F4","45910","46335|46020|46341|46362","4.0E-4","","HSA-6791312","0.21739251972991736","0"
"140","6","Reactome Pathways","","SARS-CoV-1 Infection","0.0067","NFKB1|RUNX1|GSK3B|SP1|SMAD3|RELA","45910","46254|46194|46338|46182|46215|46200","4.1E-4","","HSA-9678108","0.21739251972991736","0"
"396","10","GO Biological Process","","Histone modification","0.0068","SPI1|KAT6A|REST|EZH2|NFYA|KDM5B|NCOA3|DCAF1|HNF1A|RIOX1","45910","46314|46185|46122|46026|46134|46344|46263|46353|46083|46326","3.5E-4","","GO:0016570","0.2167491087293764","0"
"47","4","GO Biological Process","","Negative regulation of T cell differentiation","0.0068","IRF1|RUNX1|ZC3H12A|CBFB","45910","46329|46194|46350|46269","3.5E-4","","GO:0045581","0.2167491087293764","0"
"87","5","GO Biological Process","","Cellular response to virus","0.0068","NFKB1|SMAD3|ZC3H12A|POU2AF1|HIF1A","45910","46254|46215|46350|46236|46071","3.5E-4","","GO:0098586","0.2167491087293764","0"
"47","4","GO Biological Process","","Positive regulation of stem cell population maintenance","0.0068","DPF2|TP63|REST|NCOA3","45910","46050|46128|46122|46263","3.5E-4","","GO:1902459","0.2167491087293764","0"
"47","4","GO Biological Process","","Negative regulation of lipid localization","0.0068","NFKB1|PPARA|AKT1|NR1H3","45910","46254|46119|46374|46140","3.5E-4","","GO:1905953","0.2167491087293764","0"
"3","2","Reactome Pathways","","SMAD4 MH2 Domain Mutants in Cancer","0.0069","SMAD2|SMAD3","45910","46113|46215","4.2E-4","","HSA-3311021","0.21611509092627448","0"
"3","2","Reactome Pathways","","SMAD2/3 MH2 Domain Mutants in Cancer","0.0069","SMAD2|SMAD3","45910","46113|46215","4.2E-4","","HSA-3315487","0.21611509092627448","0"
"3","2","Reactome Pathways","","Regulation of NFE2L2 gene expression","0.0069","NFE2L2|MYC","45910","46221|46191","4.2E-4","","HSA-9818749","0.21611509092627448","0"
"11","3","GO Molecular Function","","co-SMAD binding","0.007","SMAD2|SMAD1|SMAD3","45910","46113|46317|46215","9.51E-5","","GO:0070410","0.2154901959985743","0"
"88","5","GO Biological Process","","Positive regulation of reproductive process","0.0071","SOX9|NR5A1|WT1|SRY|CTNNB1","45910","46239|46320|46242|46023|46233","3.7E-4","","GO:2000243","0.21487416512809246","0"
"201","7","Reactome Pathways","","TCF dependent signaling in response to WNT","0.0071","SOX9|CSNK2A2|GSK3B|SRY|AKT1|MYC|CTNNB1","45910","46239|46080|46338|46023|46374|46191|46233","4.5E-4","","HSA-201681","0.21487416512809246","0"
"138","6","GO Biological Process","","Neuron migration","0.0073","SRF|TLX3|GATA2|GATA3|NR2F2|CTNNB1","45910","46368|46047|46044|46125|46077|46233","3.8E-4","","GO:0001764","0.21366771398795442","0"
"48","4","GO Biological Process","","Negative regulation of epithelial cell differentiation","0.0073","SOX9|TP63|EZH2|CTNNB1","45910","46239|46128|46026|46233","3.7E-4","","GO:0030857","0.21366771398795442","0"
"195","7","GO Biological Process","","Protein localization to nucleus","0.0073","SOX9|E2F3|STAT3|TP53|PLK1|NR5A1|AKT1","45910","46239|46074|46305|46335|46035|46320|46374","3.8E-4","","GO:0034504","0.21366771398795442","0"
"93","6","DISEASES","","Endocrine gland cancer","0.0073","STAT3|TP53|EWSR1|AKT1|MYC|CTNNB1","45910","46305|46335|46062|46374|46191|46233","4.81E-5","","DOID:170","0.21366771398795442","0"
"675","15","DISEASES","","Immune system disease","0.0073","NFKB1|CYP27B1|STAT3|TP53|REL|RUNX1|STAT2|PRKCD|GATA2|NFKB2|GATA3|EWSR1|HNF1A|AKT1|MYC","45910","46254|46101|46305|46335|46005|46194|46038|46008|46044|46098|46125|46062|46083|46374|46191","4.74E-5","","DOID:2914","0.21366771398795442","0"
"411","10","Reactome Pathways","","SARS-CoV Infections","0.0073","NFKB1|RUNX1|REST|STAT2|GSK3B|SP1|SMAD3|NFE2L2|RELA|AKT1","45910","46254|46194|46122|46038|46338|46182|46215|46221|46200|46374","4.6E-4","","HSA-9679506","0.21366771398795442","0"
"19","3","GO Biological Process","","Trophectodermal cell differentiation","0.0074","SRF|JUNB|SP3","45910","46368|46272|46218","3.9E-4","","GO:0001829","0.21307682802690237","0"
"196","7","GO Biological Process","","Negative regulation of leukocyte activation","0.0074","SPI1|IRF1|RUNX1|CEBPB|ZC3H12A|CBFB|NR1H3","45910","46314|46329|46194|46053|46350|46269|46140","3.9E-4","","GO:0002695","0.21307682802690237","0"
"912","16","GO Biological Process","","Positive regulation of phosphate metabolic process","0.0074","EGR1|SOX9|MAPK3|TP53|PLK1|EZH2|PRKCD|SMAD3|DUSP19|PPARA|TNIK|HSF1|LATS1|HIF1A|HNF1A|AKT1","45910","46296|46239|46029|46335|46035|46026|46008|46215|46293|46119|46209|46203|45999|46071|46083|46374","3.8E-4","","GO:0045937","0.21307682802690237","0"
"89","5","GO Biological Process","","Regulation of fibroblast proliferation","0.0074","TP53|E2F1|JUN|MYC|CTNNB1","45910","46335|46020|46302|46191|46233","3.9E-4","","GO:0048145","0.21307682802690237","0"
"912","16","GO Biological Process","","Regulation of transferase activity","0.0074","EGR1|MAPK3|PPM1F|TP53|PLK1|EZH2|GSK3B|PRKCD|PTPRB|DUSP19|NR2F2|LATS1|HNF1A|AKT1|MYC|CTNNB1","45910","46296|46029|46365|46335|46035|46026|46338|46008|46173|46293|46077|45999|46083|46374|46191|46233","3.8E-4","","GO:0051338","0.21307682802690237","0"
"19","3","GO Biological Process","","Pericardium development","0.0074","SMAD2|SMAD3|WT1","45910","46113|46215|46242","3.9E-4","","GO:0060039","0.21307682802690237","0"
"19","3","GO Biological Process","","Nephron tubule formation","0.0074","SOX9|GATA3|CTNNB1","45910","46239|46125|46233","3.9E-4","","GO:0072079","0.21307682802690237","0"
"19","3","GO Biological Process","","Regulation of CD8-positive, alpha-beta T cell activation","0.0074","IRF1|RUNX1|CBFB","45910","46329|46194|46269","3.9E-4","","GO:2001185","0.21307682802690237","0"
"203","7","Reactome Pathways","","Ub-specific processing proteases","0.0074","SMAD2|TP53|SMAD1|SMAD3|GATA3|HIF1A|MYC","45910","46113|46335|46317|46215|46125|46071|46191","4.8E-4","","HSA-5689880","0.21307682802690237","0"
"139","6","GO Biological Process","","Regulation of lipid transport","0.0075","NFKB1|PRKCD|KDM5B|PPARA|AKT1|NR1H3","45910","46254|46008|46344|46119|46374|46140","3.9E-4","","GO:0032368","0.21249387366083","0"
"1011","17","GO Biological Process","","Regulation of hydrolase activity","0.0076","PPM1F|STAT3|TP63|CASP6|REST|EZH2|GSK3B|PRKCD|SMAD3|URI1|MAPK8|HSF1|HNF1A|SP7|AKT1|NR1H3|MYC","45910","46365|46305|46128|46167|46122|46026|46338|46008|46215|46092|46284|46203|46083|46059|46374|46140|46191","4.0E-4","","GO:0051336","0.21191864077192085","0"
"197","7","GO Biological Process","","Negative regulation of protein localization","0.0076","SPI1|PPM1F|REST|GSK3B|WWP2|LATS1|NR1H3","45910","46314|46365|46122|46338|46212|45999|46140","4.0E-4","","GO:1903828","0.21191864077192085","0"
"49","4","GO Biological Process","","Response to antibiotic","0.0077","TP53|EZH2|KDM5B|ETS1","45910","46335|46026|46344|46290","4.0E-4","","GO:0046677","0.2113509274827518","0"
"21","3","Reactome Pathways","","CD209 (DC-SIGN) signaling","0.0078","NFKB1|PRKACA|RELA","45910","46254|46014|46200","5.0E-4","","HSA-5621575","0.21079053973095196","0"
"95","5","Reactome Pathways","","SARS-CoV-1-host interactions","0.0078","NFKB1|RUNX1|SP1|SMAD3|RELA","45910","46254|46194|46182|46215|46200","5.1E-4","","HSA-9692914","0.21079053973095196","0"
"34","4","GO Molecular Function","","Disordered domain specific binding","0.0079","SMAD2|TP53|NCOA3|CTNNB1","45910","46113|46335|46263|46233","1.1E-4","","GO:0097718","0.21023729087095586","0"
"3","2","GO Biological Process","","Osteoblast fate commitment","0.008","SMAD1|RUNX2","45910","46317|46260","4.2E-4","","GO:0002051","0.20969100130080562","0"
"3","2","GO Biological Process","","Growth plate cartilage chondrocyte growth","0.008","SOX9|RARG","45910","46239|46107","4.2E-4","","GO:0003430","0.20969100130080562","0"
"3","2","GO Biological Process","","Primary sex determination","0.008","SOX9|NR5A1","45910","46239|46320","4.2E-4","","GO:0007538","0.20969100130080562","0"
"3","2","GO Biological Process","","Proteasomal ubiquitin-independent protein catabolic process","0.008","NFE2L2|ENC1","45910","46221|46131","4.2E-4","","GO:0010499","0.20969100130080562","0"
"3","2","GO Biological Process","","Negative regulation of calcidiol 1-monooxygenase activity","0.008","NFKB1|CYP27B1","45910","46254|46101","4.2E-4","","GO:0010956","0.20969100130080562","0"
"3","2","GO Biological Process","","Positive regulation of sulfur metabolic process","0.008","SP1|NFE2L2","45910","46182|46221","4.2E-4","","GO:0051176","0.20969100130080562","0"
"3","2","GO Biological Process","","Cell proliferation involved in heart morphogenesis","0.008","SOX9|PITX2","45910","46239|46308","4.2E-4","","GO:0061323","0.20969100130080562","0"
"91","5","GO Biological Process","","Positive regulation of protein localization to nucleus","0.008","PLK1|PRKCD|SMAD3|ZC3H12A|AKT1","45910","46035|46008|46215|46350|46374","4.3E-4","","GO:1900182","0.20969100130080562","0"
"332","9","GO Biological Process","","Regulation of mitotic cell cycle phase transition","0.008","DPF2|TP53|PLK1|EZH2|KLHL22|CDK10|E2F1|TFDP1|AKT1","45910","46050|46335|46035|46026|46086|46281|46020|46341|46374","4.2E-4","","GO:1901990","0.20969100130080562","0"
"3","2","GO Biological Process","","Regulation of myeloid progenitor cell differentiation","0.008","SPI1|DPF2","45910","46314|46050","4.2E-4","","GO:1905453","0.20969100130080562","0"
"3","2","GO Biological Process","","Positive regulation of sodium-dependent phosphate transport","0.008","CEBPB|ATF4","45910","46053|46197","4.2E-4","","GO:2000120","0.20969100130080562","0"
"3","2","GO Biological Process","","Negative regulation of female gonad development","0.008","NR5A1|WT1","45910","46320|46242","4.2E-4","","GO:2000195","0.20969100130080562","0"
"50","4","GO Biological Process","","Regulation of lipid storage","0.0081","NFKB1|ZC3H12A|PPARA|NR1H3","45910","46254|46350|46119|46140","4.3E-4","","GO:0010883","0.20915149811213504","0"
"96","5","Reactome Pathways","","VEGFA-VEGFR2 Pathway","0.0081","PRKACA|PRKCD|THEM4|AKT1|CTNNB1","45910","46014|46008|46137|46374|46233","5.4E-4","","HSA-4420097","0.20915149811213504","0"
