"","P16902_146","P16902_147","P16902_148","P16902_144","P16902_145","P16902_149"
"CBFA2T2",10.2196201900645,10.2677649736448,10.6043165592583,10.2332595764138,10.3751412692734,10.0001875703721
"BRINP1",11.0476810604634,11.015743223523,9.51665554875407,10.625523476624,11.0304184700927,9.97769580596763
"ITCH",10.9856366459395,10.9564489236947,11.0762069437025,11.0862395351564,10.988067543305,11.2828924102614
"TP53INP2",9.12641860295638,9.26226300594309,9.46097069480703,8.60541827705831,8.72519991723393,7.8514981122475
"SDF4",9.10946858250594,8.57130070609712,8.9906694493425,9.40770891967464,9.46974297376782,9.67516679273869
"MYH7B",5.0958257135656,5.24729833481842,5.19204933581343,5.02596345433389,5.14598214718274,5.07532107295397
"TP73",4.33057497578978,4.77662214806139,5.29031095099465,5.47521948736164,4.66714835127326,5.3153992589889
"TOLLIP",8.93441813638862,8.56143550191553,8.76683080384328,8.70457402807259,9.17083215375322,8.32637343054268
"UBE2D4",8.54618583798645,8.44013107304247,8.50523779269717,8.09651893816397,8.35410074742384,8.39872068668933
"CLUL1",7.45586048096702,7.55967679243628,6.11933501176659,5.15028716110163,6.61028206685648,4.68467332000649
"RUNX1T1",12.1357397828126,12.3142892291864,12.5719318106488,11.2507534225894,12.161323032951,9.21093973016392
"THOC1",10.0216480691921,10.0000556911348,10.0915330247766,9.95215631189838,9.9331280223752,10.1305866095548
"FKBP7",7.84825812045836,7.81923443275588,7.92313041789343,7.52254730534119,7.83080600963922,7.40441060627693
"OSBPL6",10.0445962132391,10.2169561554946,10.5879563371494,9.48752310362095,10.0693965367775,8.71619412677721
"SLC1A3",12.224891305507,12.3255944949955,12.5736817466969,13.7318446533148,12.320275982141,13.8948862391472
"XRCC5",13.3727709961324,13.4756980667559,13.6798092300653,13.4106402741036,13.3755322702435,13.1718500453256
"LXN",5.29925920898593,5.24729833481842,4.94418431550225,5.12120644125242,5.11210946503177,5.77550668699715
"SP140",5.36825224778896,5.55970553524277,5.2426758087291,5.17826991240815,5.57607598002124,5.28523604052962
"MKNK1",8.22719544304341,8.20026757039308,8.17578040881632,8.2244684261654,8.12775706975868,8.40133127865555
"TNS1",6.85421751109717,6.92558771782441,7.66296644002311,6.63747569525174,7.16001841268955,6.82548453408029
"REXO1",7.52069154069623,7.07485915820495,7.52347964195245,7.47638291567302,7.80242174547315,6.59953871009217
"SAR1A",11.300221404024,11.3423715797977,11.0304261637619,11.539757020411,11.4387492461444,11.7489833460438
"CDC14A",6.92676259669851,7.19664743352791,7.60189652432882,7.52632687188067,6.79235481056696,8.0313273339539
"RAPGEF3",6.76768353188172,6.57669813123392,6.25772181162451,5.80400878913798,6.64378255741951,5.63720988468804
"SENP1",9.51463543563667,9.69260589288135,9.60664340420261,9.58839047948132,9.61959557248857,9.47841669041785
"CIC",9.26890908258958,8.82725700554831,9.58075482190222,8.96796493881151,9.40678512009778,8.11019697759067
"LIPE",6.76768353188172,6.51389521262857,6.83657729618024,6.66596874216255,7.078412375402,6.03906618111504
"FDFT1",11.6502901334306,11.7027183876896,11.1496158257422,11.7238055520589,11.9763743492167,10.8227683991445
"PAFAH1B3",10.4410502656634,10.0046023402992,10.3675754489251,10.4571915855292,10.7808578929804,9.13159714940931
"OPHN1",9.97670257566038,10.1104735045327,10.2110654703047,10.3849714901581,10.3034671981048,10.3785172846378
"KIF22",9.28073108559907,9.22531631626295,9.50568946027502,9.98238906283406,9.76356450602476,9.6858816739817
"SCGN",4.99520527768772,4.95891832408665,4.63910910251109,5.3049269085433,5.39908280147121,4.76371589021208
"LRRC16A",9.52886286651649,9.61621304865666,9.67185436406061,8.98301364370541,9.34339622751529,9.08860737905608
"PGM1",8.72271821537243,8.44013107304247,8.5839729087344,8.15102796989229,8.19460977828675,8.61872090139936
"DDX1",11.2345096671552,11.3166491370575,11.406849452395,11.3886988299233,11.3096432658436,11.4074955620483
"DNM2",9.79915296176499,9.70830257160587,9.82670831451534,10.1672058921916,9.98731463814814,10.4474882322499
"EPB41L2",9.28911633067063,9.34351847140204,9.4872250638378,9.25725846048021,9.37244676578344,9.57266120339637
"RIMS1",12.5260468192856,12.5147835265834,12.2918740905389,11.7704098153371,12.5496141921715,9.97157988891
"MOXD1",7.30978258738388,7.50359283809551,6.73671357377245,7.46065189899311,8.46642378882248,6.09663944422455
"STX7",12.3903380014445,12.5002132408879,11.9764669680195,11.8740601732251,12.2866827869644,11.06885171186
"RABL2B",8.344834584039,8.54149919794881,8.14299016679706,8.47777308141497,8.50856160689741,9.00885774659924
"KEAP1",9.02761588958365,8.68240505884543,9.41090534445228,9.02591710708937,9.22494019162892,9.04595924739587
"PTPRH",6.22223378738274,6.09988234759329,5.53204272811162,5.05921631031587,5.03903521958369,4.58127373257168
"DCT",5.3344412562722,5.2124335202594,5.45827589049947,5.20526093226038,5.14598214718274,5.28523604052962
"SLC35C2",9.00538575784659,8.68012850292475,8.81209961871537,9.02591710708937,9.07537911120753,9.08537126519685
"CRYBG3",9.0356151437135,9.22843168569077,9.03204994338449,9.51693601294656,8.52161505215278,9.61252207666058
"EPHA6",11.6906863536546,11.722166141119,11.026597934543,10.4285364942416,10.6491744324641,10.294929845911
"RFX3",11.759520824659,11.9010192312063,12.3732522022679,12.3942065031176,11.7002737114884,13.1483300691321
"RIF1",12.0222408690888,12.1539432174559,12.2188297317326,11.788987759638,11.7518063000118,11.9613213787074
"RAB21",10.6097389266764,10.6238719750845,10.5215009618339,10.4340150143149,10.5860371960701,10.5018396829806
"SLC4A4",8.69012071758765,8.75341226294318,9.118622161933,9.15229364445896,9.13170855443281,8.5404183190413
"SMARCA2",10.9050829195073,10.9351777651072,10.5114914614142,10.4094489344917,10.9118529093173,10.0803206277973
"SESN1",9.31398296671504,9.22531631626295,9.59461993227118,9.59996244648262,9.48644621251567,9.90986386521915
"MID2",8.61995696851919,8.65484519824644,8.32515149771504,8.0266443740023,8.51944771280452,7.64112048431256
"PIH1D3",4.33057497578978,4.33057497578978,4.33057497578978,5.4150421589993,4.56883750728876,6.00920807852439
"COL5A3",5.26254826080776,5.05426032044833,5.0153475618871,7.46065189899311,6.13396671442646,7.72737996107839
"SRCAP",10.2072939857715,10.390943035236,10.9185089816178,10.0344730609788,10.0251356211174,9.96455834842518
