"","P13555_106","P13555_109","P13555_110","P13555_116","P13555_118","P13555_119","P13555_120","P13555_210","P13555_211","P13555_212"
"NFATC3",11.2798657479075,11.4430723961491,11.6615065001577,11.1177387519529,11.4299702604195,11.6325204269114,11.679421005195,11.1466134337248,11.0244550951807,11.1609209823184
"TRNT1",9.2676914454974,9.0326792029517,9.25350923295539,9.36775506410181,9.52770521242395,9.74821035136347,9.7113643143086,9.19662257622543,9.20550245816665,9.63991092603784
"ACADVL",9.69265863768558,9.4786269265633,9.67230504274127,10.1080368039885,10.0687316175865,9.69360323709193,9.923830909476,9.91421461389237,9.94312195521881,10.2003184828284
"STK10",7.49597719750312,6.97089804705296,7.64384047877282,8.74774717889188,8.3339922501058,7.95039662788612,8.18799375198748,7.55349837672161,7.83451242478003,8.62242600911913
"FBXW11",11.4998758181181,11.4401600085331,11.578186661339,11.249367519913,11.3845297720766,11.3913647139313,11.3689599836084,11.2482344033931,11.1851539522537,11.2157720699419
"ACAP1",4.67050226832838,4.98495933069681,4.33057497578978,5.18567278010657,5.07080979827573,5.03632149234958,4.99723756767575,5.16099600555359,5.26428353756215,4.33057497578978
"CRMP1",12.6143748765083,12.7733305551359,12.8674807748882,12.4693015277267,12.5424063501502,12.3298657148952,12.357765439733,12.767316986498,12.9587665356045,12.2681609100585
"EVC",8.69373923944518,8.10848299604305,9.46884476803836,9.60886788647338,9.52133706611458,9.23349633108526,9.29316849300449,8.90954721345333,8.76207542402484,9.97430645648476
"DERL2",10.3294294513427,10.3180310220692,10.1658209484359,9.98905849202766,10.3362393404115,10.3371967883083,10.2972867241087,10.1237256810669,10.0479607687822,10.1347642060098
"SIDT1",4.67050226832838,4.71053199576477,4.33057497578978,4.68391578200042,4.33057497578978,4.33057497578978,4.75444462058805,4.64815398230621,4.66572829409432,4.78036575351024
"NDE1",9.40788304703537,8.90309909095374,9.58957331862913,9.50424337258178,9.16876602107106,9.30812960857697,9.32502845916738,9.25795009128568,8.94593983554195,9.481696596867
"MRVI1",6.72787536056462,6.32379910332462,6.91286881953286,8.01243365833375,7.81176207768016,7.67259128489954,7.63767903217475,6.14439310433836,6.44035379748791,8.77665499156519
"TMEM38A",6.77458838616799,7.06688062419286,6.66817000653315,6.91380253138766,6.81298693250898,6.60707815039458,6.6179429806715,7.05671761129789,7.11647246455308,6.49120442702893
"AP1M1",9.21411985272985,9.25802942455105,9.26635570226833,9.61557995061883,9.38300219961009,8.96548158802442,9.22725203773715,9.51718236412925,9.83178462317263,9.9385054959266
"PVR",7.88971777429667,7.8236464308952,7.87550810166814,8.26201359076017,8.21232052526336,7.99999061260304,8.01241711222606,8.05965810253375,8.00457513961126,8.33934912628337
"IKBKG",5.88786869602307,5.55712035477005,5.07342482916069,6.25106692639226,6.15756351767852,5.70375863818237,5.99130323937923,6.20789587659768,6.60222255456864,6.52407165422117
"XRCC1",9.55944483803493,9.64731914794347,9.61322104960487,9.27466895299239,9.39930272909622,9.17640053242708,9.48691433802624,9.79362914638045,9.7718151281421,9.73482259622285
"SCARB1",7.38254299192081,7.30742339894856,7.47519505326399,8.21546457731633,7.60052256834166,7.402877595259,7.41632645049151,7.62033458417676,7.51647685193317,8.00295413652395
"MCM2",10.9209242619942,10.8527933976263,10.5363392685228,10.9876084629729,11.1982869794442,10.9324639657423,11.332234092271,11.1112969129272,10.9500379945553,11.6543100259128
"MOV10L1",4.81020568041892,4.98495933069681,4.33057497578978,4.93957821688211,4.90643818311714,4.68607714955073,4.33057497578978,4.87845107423715,5.14261493160186,4.88035503537441
"PANX2",4.67050226832838,5.1707204069151,4.93930625600087,5.4243474966848,5.26100236490234,4.33057497578978,4.63083304763756,5.16099600555359,5.41867999450969,4.78036575351024
"TP63",4.33057497578978,4.71053199576477,4.76259711294854,4.68391578200042,4.66451533263707,4.68607714955073,4.63083304763756,4.33057497578978,4.33057497578978,4.88035503537441
