"ID","statistic","log2FoldChange","padj"
"CCNT2-AS1",1.8475368154131,1.02687458222383,0.257063483764406
"GLTPD1",0.935160120621691,0.347769491109077,0.618523978643152
"SNHG14",-2.74697806559393,-0.496158996151236,0.0629899461516003
"UBE2FP1",-1.062323267076,-0.489666021936415,0.560209082472036
"LINC01057",-0.309079766302789,-0.224526914532577,0.890088842702637
"CYP4F25P",-1.793696342186,-1.26639481900642,0.273545294029229
"INHBA-AS1",-1.0731027570633,-0.815938166677902,0.555242693931028
"AMMECR1-IT1",-0.376226232232519,-0.460168893279296,0.864072503765305
"HCG14",1.94250479607161,2.49305351757761,0.228685423417497
"DNAJC27-AS1",-1.70195160463175,-0.448977679046702,0.304227172837575
"SDHDP6",-0.627098914905672,-0.608773244816912,0.759490493831182
"SNX18P9",-0.871125583871233,-0.438076963842952,0.647804935651446
"C5orf66",1.47091088680539,1.4385406767619,0.389545270332498
"PHEX-AS1",-2.16417253557537,-1.87419877456286,0.168194408806729
"OR2L1P",-2.08945475575418,-2.71142407394406,0.187975696025578
"WARS2-IT1",-1.16255973341223,-1.41853834000494,0.517193473110963
"LINC00403",2.15642960962632,0.890401913266254,0.170291367299178
"PDCL3P6",-2.00545593478444,-1.89579080170067,0.210502213687965
"VWC2L-IT1",-1.80535591793673,-2.13430309670474,0.269483849999058
"SLC25A5-AS1",0.227705828751701,0.0830249954230522,0.92053615725431
"MSL3P1",-0.0656442423519041,-0.0184800210767897,0.978631189189795
"MCCD1P2",-0.46292925529903,-0.443642918019106,0.830393683057942
"RPL7P7",-2.28994763022675,-1.03592907192717,0.139830992519253
"THAP5P1",-1.41300149574928,-1.30638309288258,0.412889174485335
"OACYLP",1.95551560738142,1.69645218633459,0.224647432891036
"LINC00703",-2.71860257971452,-1.34624043947191,0.0666851518215509
"C17orf72",3.96213447629788,2.22599401823451,0.00277481444351184
"C4B",3.00267917518914,1.90629527366017,0.0370090735981311
"RPL19P12",0.125095452083704,0.0963800584837853,0.958487983395401
"STK24-AS1",1.17891155024327,0.581106629348261,0.511301005269261
"ADM5",-0.203057892142941,-0.130236605062819,0.930357409992568
"PRKAR2A-AS1",0.406307289290804,0.187223625123308,0.853062937959215
"MKRN5P",-2.77137615109013,-1.06481066607895,0.0600209381466815
