,CD28_146,CD28_147,CD28_148,AD28_144,AD28_145,AD28_149
SUPT16H,12.44998646,12.54323542,12.29221419,12.64609932,12.51752723,12.77233028
TOX4,11.15867894,11.29621467,11.013269,11.27630268,11.32189884,11.41006637
GEMIN2,8.70722675,8.663697729,8.584630976,8.856712233,8.628561066,8.897298266
TGM1,6.396415534,6.091928114,6.583274337,6.118142428,6.605594591,5.853551779
TINF2,10.03157302,9.975264705,10.13218008,10.39971316,10.32533126,10.33647626
TBL1Y,5.367677357,5.146288315,4.4633419,6.443789922,5.978022633,6.231694982
SEMA6A,11.33658446,11.43022378,12.09243184,11.62789888,11.45660337,11.8273262
TRPM7,11.26094168,11.27114816,11.25787709,11.26858422,11.09202172,11.52422832
TYRO3,10.46437078,10.01233742,10.06110268,10.28449712,10.31027456,9.849518831
WDR76,8.411326429,8.387053169,8.881415966,8.943468257,8.255174764,9.492796059
SNAP23,8.425546291,8.630981393,8.659572207,9.414213218,8.658675681,10.14628861
TBX15,5.605085214,5.549067711,4.4633419,5.807799931,5.196831701,6.034429089
PHGDH,9.098271848,8.998737167,9.774471247,10.59342848,10.27871449,10.83207599
EZR,10.48930794,10.34633069,10.62840375,11.94117876,10.66267958,12.64749741
MYL6,13.54042283,13.29597171,13.57353587,13.85136008,13.50023633,14.14567319
AGO1,11.87540924,12.04032976,12.49451437,12.21479685,11.86954095,12.54512796
TEKT2,8.201320958,7.934236811,8.113865371,9.358689629,8.559994267,10.00079428
CLSPN,7.780668174,7.866767522,8.224077275,8.874940574,7.976852555,9.344727964
RFFL,9.405384715,9.413669476,9.189889941,9.023242427,9.112270427,8.621683041
MFSD11,9.811883218,9.93869544,9.641159182,9.533617295,9.764914812,9.556884243
DPYSL2,15.27842423,15.23652623,14.79131501,15.05548374,15.45890254,14.411934
TGFB2,8.726470858,8.774328135,7.952246202,10.1895669,9.604382931,10.64369639
GPATCH2,10.36375462,10.45594819,10.33632634,10.57059012,10.26608955,10.90263439
NUP50,11.16853617,11.27232375,11.25873558,11.62118021,11.36533231,11.61682109
CDC45,6.33309233,6.458488474,7.030824746,8.22433817,6.957274286,8.367151165
COMT,9.178622547,8.97289175,9.225501473,6.291726944,8.20696222,5.600328351
CECR1,5.828447049,6.067889176,6.144979574,5.153559796,4.74313186,5.250508091
ECHDC1,10.39168036,10.5097778,10.40153393,10.25441193,10.27193019,10.34610427
LRRFIP2,11.12797497,11.16375315,10.99689718,10.69547111,10.73703921,10.66948635
SEC22C,11.36869947,11.37493401,11.16842641,11.21604459,11.09806046,11.36501084
XYLB,7.817285213,8.092775038,7.836384454,7.261438028,7.203105728,6.964052511
HDAC6,11.53630836,11.32425772,11.26984974,11.61206008,11.81626142,11.23576771
CDC6,7.887795031,7.975559661,8.730791018,9.138944931,7.6303345,9.589692879
UPRT,9.486499891,9.563441328,9.340384077,9.396992595,9.439354797,9.27019648
CDC23,10.31766386,10.37507354,10.3000819,10.56989237,10.3215818,10.87112433
